label,treatment,flux,swc,ts,date_time,bulk_density,root_density,total_c_percent,total_n_percent,cn_ratio,c_stock_kgC_m2,flux_mgco2_kgc,porosity,wfps,micro,macro
7,Control,0.738566666666667,0.279383333333333,12.7822233333333,2024-03-27T08:48:00Z,0.950919455,0.001186582,1.27,0.065,19.5384615384615,1.20766770785,0.026914952506155162,64.1162469811321,0.435744988965978,1.869118,83.000958
7,Control,0.832863333333333,0.31097,15.3616666666667,2024-03-29T10:05:09Z,0.950919455,0.001186582,1.27,0.065,19.5384615384615,1.20766770785,0.030351325171437536,64.1162469811321,0.485009673275966,1.869118,83.000958
7,Control,1.11732,0.2283,22.276666666666696,2024-04-01T10:40:10Z,0.950919455,0.001186582,1.27,0.065,19.5384615384615,1.20766770785,0.04071753585888514,64.1162469811321,0.356071995397958,1.869118,83.000958
7,Control,2.41149,0.301996666666667,26.0983333333333,2024-07-30T09:00:19Z,0.950919455,0.001186582,1.27,0.065,19.5384615384615,1.20766770785,0.0878798648089562,64.1162469811321,0.47101426063746,1.869118,83.000958
7,Control,3.15940333333333,0.323843333333333,30.1,2024-07-31T10:26:58Z,0.950919455,0.001186582,1.27,0.065,19.5384615384615,1.20766770785,0.11513542988372276,64.1162469811321,0.505087787544135,1.869118,83.000958
7,Control,3.51715333333333,0.22524,29.485,2024-08-01T09:34:39Z,0.950919455,0.001186582,1.27,0.065,19.5384615384615,1.20766770785,0.1281726067475721,64.1162469811321,0.351299414119299,1.869118,83.000958
7,Control,3.63087333333333,0.0945333333333333,24.317776666666695,2024-08-02T08:10:55Z,0.950919455,0.001186582,1.27,0.065,19.5384615384615,1.20766770785,0.13231680731488712,64.1162469811321,0.147440528390803,1.869118,83.000958
8,Disturbance,0.896333333333333,0,29.686666666666696,2023-06-06T09:00:00Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.012020238280263688,68.3677416603774,0,2.884199,78.011903
8,Disturbance,0.941,0,35.7466666666667,2023-06-09T11:10:40Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.012619238625951806,68.3677416603774,0,2.884199,78.011903
8,Disturbance,2.458,0.236666666666667,31.82,2023-06-12T12:36:40Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.03296289962018017,68.3677416603774,0.346167155618989,2.884199,78.011903
8,Disturbance,1.74666666666667,0.116666666666667,32.8566666666667,2023-06-16T11:00:20Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.023423595607505343,68.3677416603774,0.170645780938938,2.884199,78.011903
8,Disturbance,2.817,0.28,30.0966666666667,2023-06-23T12:17:20Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.037777253144852536,68.3677416603774,0.409549874253451,2.884199,78.011903
8,Disturbance,2.27266666666667,0,25.2,2023-07-06T08:19:00Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.030477495200757893,68.3677416603774,0,2.884199,78.011903
8,Disturbance,5.14233333333333,0.12,34.1166666666667,2023-08-05T10:43:20Z,0.838254846,2.20541e-4,3.915,0.185,21.1621621621622,3.28176772209,0.06896103233530229,68.3677416603774,0.175521374680051,3.552945,73.638574
