"","label","treatment","flux","swc","ts","date_time","year","yday","time","ftime","bulk_density","root_density","total_c_percent","total_n_percent","cn_ratio","c_stock_kgC_m2","flux_mgco2_kgc","porosity","wfps"
"329","13","NPK+Disturbance",1.14527666666667,0.343106666666667,20.3455566666667,2024-02-06 14:18:51.333333,2024,37,218,"218",0.836133307,0.000772635,2.775,0.14,19.8214285714286,2.320269926925,28.1156994718847,68.4477997358491,0.50126763459274
"330","13","NPK+Disturbance",0.905273333333333,0.24979,16.9877766666667,2024-02-07 16:05:37,2024,38,219,"219",0.836133307,0.000772635,2.775,0.14,19.8214285714286,2.320269926925,22.2237942330482,68.4477997358491,0.364935032190924
"331","13","NPK+Disturbance",0.99141,0.144433333333333,16.3394466666667,2024-03-25 12:53:18.333333,2024,85,266,"266",0.836133307,0.000772635,2.775,0.14,19.8214285714286,2.320269926925,24.3383860203396,68.4477997358491,0.211012382999489
"332","13","NPK+Disturbance",0.710413333333333,0.286166666666667,13.8622233333333,2024-03-27 09:42:36,2024,87,268,"268",0.836133307,0.000772635,2.775,0.14,19.8214285714286,2.320269926925,17.440124611072,68.4477997358491,0.418080154177387
"333","13","NPK+Disturbance",0.683493333333333,0.299333333333333,12.3266666666667,2024-03-29 09:24:14.333333,2024,89,270,"270",0.836133307,0.000772635,2.775,0.14,19.8214285714286,2.320269926925,16.7792584188129,68.4477997358491,0.437316224171571
"334","13","NPK+Disturbance",1.02416666666667,0.05191,17.0827766666667,2024-04-01 08:11:23.666667,2024,92,273,"273",0.836133307,0.000772635,2.775,0.14,19.8214285714286,2.320269926925,25.1425380846449,68.4477997358491,0.0758388146884618
"335","13","NPK+Disturbance",1.67931666666667,0.343586666666667,27.2,2024-07-30 09:43:30.333333,2024,212,393,"393",0.836133307,0.000772635,2.775,0.14,19.8214285714286,2.320269926925,41.2259885251544,68.4477997358491,0.501968898916579
"336","13","NPK+Disturbance",1.88211666666667,0.300446666666667,26.99611,2024-07-31 09:49:52.333333,2024,213,394,"394",0.836133307,0.000772635,2.775,0.14,19.8214285714286,2.320269926925,46.2045793048771,68.4477997358491,0.438942767811585
"337","13","NPK+Disturbance",2.62025666666667,0.160923333333333,24.17,2024-08-01 08:22:09.666667,2024,214,395,"395",0.836133307,0.000772635,2.775,0.14,19.8214285714286,2.320269926925,64.3253731813294,68.4477997358491,0.235103734458028
"338","13","NPK+Disturbance",2.94076,0.141,30.1,2024-08-02 09:25:05.333333,2024,215,396,"396",0.836133307,0.000772635,2.775,0.14,19.8214285714286,2.320269926925,72.1934941882511,68.4477997358491,0.205996395127588
"339","14","NPK",1.36133333333333,0,30.55,2023-06-06 09:48:00,2023,157,1,"1",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,147.476483589691,52.9388702641509,0
"340","14","NPK",1.382,0,38.3566666666667,2023-06-09 11:58:40,2023,160,4,"4",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,149.715352831258,52.9388702641509,0
"341","14","NPK",1.728,0.0566666666666667,30.92,2023-06-12 11:47:20,2023,163,7,"7",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,187.198357230401,52.9388702641509,0.107041699953012
"342","14","NPK",0.971666666666667,0.0866666666666667,33,2023-06-16 11:52:00,2023,167,11,"11",1.247119938,0.000258532,1.26,0.055,22.9090909090909,1.57137112188,105.262965147881,52.9388702641509,0.163710835222253
