Label,Rep,Height_1_cm,Height_2_cm,Height_3_cm,Average_Height,Time,flux,swc,ts,EC,Date,Treatment,Ants,Treatment_binned,Rainfall
16,3,5.5,8,6,6.5,,0.823,0,31.42,0,6/6/23,Control,,Control,No
,,,,,,,,,,,,,,,
17,1,7.5,5.5,8,7,10:13,1.404,0,31.47,0,6/6/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
17,2,7.5,5.5,8,7,,1.33,0,,0,6/6/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
17,3,7.5,5.5,8,7,,1.31,0,,0,6/6/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
18,1,1,6,7,4.7,,1.072,0,,0,6/6/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
18,2,1,6,7,4.7,,1.056,0,,0,6/6/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
18,3,1,6,7,4.7,10:24,1.17,0,34.55,0,6/6/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
19,1,6.5,8,10,8.2,,1.184,0,,0,6/6/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
19,2,6.5,8,10,8.2,10:31,1.193,0,33.79,0,6/6/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
19,3,6.5,8,10,8.2,,1.233,0,,0,6/6/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
20,1,5.5,7.5,6,6.3,10:36,1.206,0,36.71,0,6/6/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
20,2,5.5,7.5,6,6.3,,1.174,0,,0,6/6/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
20,3,5.5,7.5,6,6.3,,1.221,0,,0,6/6/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
21,1,6,6.5,5,5.8,10:45,1.131,0,37.05,0,6/6/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
21,2,6,6.5,5,5.8,,1.215,0,,0,6/6/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
21,3,6,6.5,5,5.8,,1.173,0,,0,6/6/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
22,1,5,6,7,6,10:52,1.627,0,39.16,0,6/6/23,Control,,Control,No
,,,,,,,,,,,,,,,
22,2,5,6,7,6,,1.665,0,,0,6/6/23,Control,,Control,No
,,,,,,,,,,,,,,,
22,3,5,6,7,6,,1.698,0,,0,6/6/23,Control,,Control,No
,,,,,,,,,,,,,,,
23,1,4.5,5.5,8,6,11:12,1.109,0,34.61,0,6/6/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
23,2,4.5,5.5,8,6,,1.059,0,34.49,0,6/6/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
23,3,4.5,5.5,8,6,,1.129,0,34.64,0,6/6/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
24,1,6.5,6.5,10,7.7,11:19,1.811,0,,0,6/6/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
24,2,6.5,6.5,10,7.7,,1.766,0,37.16,0,6/6/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
24,3,6.5,6.5,10,7.7,,1.81,0,37.55,0,6/6/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
25,1,7.5,8,10,8.5,11:27,2.222,0,,0,6/6/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
25,2,7.5,8,10,8.5,,1.953,0,,0,6/6/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
25,3,7.5,8,10,8.5,,2.164,0,39.84,0,6/6/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
1,1,5,8,7.5,6.8,10:10,1.316,0,29.73,0,6/9/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
1,2,5,8,7.5,6.8,10:12,1.385,0,30.32,0,6/9/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
1,3,5,8,7.5,6.8,,1.342,0,30.34,0,6/9/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
2,1,5,7,8,6.7,10:18,0.719,0,32.35,0,6/9/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
2,2,5,7,8,6.7,10:20,0.694,0,31.91,0,6/9/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
2,3,5,7,8,6.7,10:22,0.675,0,32.08,0,6/9/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
3,1,5,7,5.5,5.8,10:25,1.184,0,32,0,6/9/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
3,2,5,7,5.5,5.8,10:27,1.106,0,32.02,0,6/9/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
3,3,5,7,5.5,5.8,10:28,1.124,0,31.95,0,6/9/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
4,1,7,6.5,8,7.2,10:36,0.991,0,33.78,0,6/9/23,Control,,Control,No
,,,,,,,,,,,,,,,
4,2,7,6.5,8,7.2,10:37,0.972,0,34.09,0,6/9/23,Control,,Control,No
,,,,,,,,,,,,,,,
4,3,7,6.5,8,7.2,10:38,0.977,0,33.94,0,6/9/23,Control,,Control,No
,,,,,,,,,,,,,,,
5,1,6.5,7,7,6.8,10:43,1.269,0,33.95,0,6/9/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
5,2,6.5,7,7,6.8,10:45,1.231,0,34.43,0,6/9/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
5,3,6.5,7,7,6.8,10:46,1.174,0,34.42,0,6/9/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
6,1,8,6,6,6.7,10:51,1.41,0,36.03,0,6/9/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
6,2,8,6,6,6.7,10:52,1.406,0,35.58,0,6/9/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
6,3,8,6,6,6.7,10:54,1.376,0,35.66,0,6/9/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
7,1,7.5,8,7,7.5,11:01,1.589,0,35.82,0,6/9/23,Control,,Control,No
,,,,,,,,,,,,,,,
7,2,7.5,8,7,7.5,11:03,1.457,0,35.78,0,6/9/23,Control,,Control,No
,,,,,,,,,,,,,,,
7,3,7.5,8,7,7.5,11:04,1.362,0,35.74,0,6/9/23,Control,,Control,No
,,,,,,,,,,,,,,,
8,1,9,7,6,7.3,11:09,0.974,0,35.81,0,6/9/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
8,2,9,7,6,7.3,11:11,0.925,0,35.91,0,6/9/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
8,3,9,7,6,7.3,11:12,0.924,0,35.52,0,6/9/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
9,1,4,7,7.5,6.2,11:17,1.206,0,36.03,0,6/9/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
9,2,4,7,7.5,6.2,11:18,1.144,0,36.16,0,6/9/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
9,3,4,7,7.5,6.2,11:20,1.055,0,35.96,0,6/9/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
10,1,7.5,8,7.5,7.7,11:25,1.548,0,37.98,0,6/9/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
10,2,7.5,8,7.5,7.7,11:26,1.435,0,38.47,0,6/9/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
10,3,7.5,8,7.5,7.7,11:27,1.392,0,38.15,0,6/9/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
11,1,5.5,7,8,6.8,11:32,1.152,0,36.51,0,6/9/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
11,2,5.5,7,8,6.8,11:34,1.216,0,36.81,0,6/9/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
11,3,5.5,7,8,6.8,11:35,1.262,0,37.14,0,6/9/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
12,1,6,7,7,6.7,11:40,0.958,0,37.67,0,6/9/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
12,2,6,7,7,6.7,11:41,0.912,0,37.48,0,6/9/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
12,3,6,7,7,6.7,11:43,0.85,0,37.41,0,6/9/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
13,1,5,7,6,6,11:47,1.116,0,39.07,0,6/9/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
13,2,5,7,6,6,11:49,1.072,0,38.42,0,6/9/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
13,3,5,7,6,6,11:50,1.117,0,38.95,0,6/9/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
14,1,6,5.5,8.5,6.7,11:57,1.432,0,38.3,0,6/9/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
14,2,6,5.5,8.5,6.7,11:59,1.386,0,38.44,0,6/9/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
14,3,6,5.5,8.5,6.7,12:00,1.328,0,38.33,0,6/9/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
15,1,6.5,7,9,7.5,12:05,1.317,0,37.27,0,6/9/23,Control,,Control,No
,,,,,,,,,,,,,,,
15,2,6.5,7,9,7.5,12:06,1.24,0,37.03,0,6/9/23,Control,,Control,No
,,,,,,,,,,,,,,,
15,3,6.5,7,9,7.5,12:08,1.181,0,36.88,0,6/9/23,Control,,Control,No
,,,,,,,,,,,,,,,
16,1,6,8,6,6.7,12:12,1.254,0,36.48,0,6/9/23,Control,,Control,No
,,,,,,,,,,,,,,,
16,2,6,8,6,6.7,12:13,1.278,0,36.19,0,6/9/23,Control,,Control,No
,,,,,,,,,,,,,,,
16,3,6,8,6,6.7,12:23,1.179,0,36.33,0,6/9/23,Control,,Control,No
,,,,,,,,,,,,,,,
17,1,7.5,6,8.5,7.3,12:20,2.041,0,38.73,0,6/9/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
17,2,7.5,6,8.5,7.3,12:22,2.111,0,39.43,0,6/9/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
17,3,7.5,6,8.5,7.3,12:23,1.882,0,39.52,0,6/9/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
18,1,6,5.5,1,4.2,12:29,1.078,0,39.1,0,6/9/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
18,2,6,5.5,1,4.2,12:30,1.079,0,39.38,0,6/9/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
18,3,6,5.5,1,4.2,12:31,1.054,0,38.99,0,6/9/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
19,1,7,9,8.5,8.2,12:37,1.114,0,39.46,0,6/9/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
19,2,7,9,8.5,8.2,12:38,1.185,0,39.7,0,6/9/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
19,3,7,9,8.5,8.2,12:39,1.108,0,39.75,0,6/9/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
20,1,6,7,7,6.7,12:46,1.39,0,38.84,0,6/9/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
20,2,6,7,7,6.7,12:47,1.42,0,37.96,0,6/9/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
20,3,6,7,7,6.7,12:48,1.368,0,38.47,0,6/9/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
21,1,6.5,8,4,6.2,12:53,1.575,0,40.59,0,6/9/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
21,2,6.5,8,4,6.2,12:54,1.414,0,41.49,0,6/9/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
21,3,6.5,8,4,6.2,12:56,1.526,0,41.32,0,6/9/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
22,1,6,7,6.5,6.5,13:02,1.993,0,40.25,0,6/9/23,Control,,Control,No
,,,,,,,,,,,,,,,
22,2,6,7,6.5,6.5,13:03,1.812,0,40.52,0,6/9/23,Control,,Control,No
,,,,,,,,,,,,,,,
22,3,6,7,6.5,6.5,13:04,1.95,0,40,0,6/9/23,Control,,Control,No
,,,,,,,,,,,,,,,
23,1,8,4,9,7,13:09,1.643,0,40.88,0,6/9/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
23,2,8,4,9,7,13:11,1.583,0,40.9,0,6/9/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
23,3,8,4,9,7,13:12,1.627,0,40.35,0,6/9/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
24,1,6.5,9,7,7.5,13:35,1.49,0,41.72,0,6/9/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
24,2,6.5,9,7,7.5,13:36,1.524,0,42.21,0,6/9/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
24,3,6.5,9,7,7.5,13:38,1.458,0,41.75,0,6/9/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
25,1,8,8.5,8.5,8.3,13:28,1.15,0,41.22,0,6/9/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
25,2,8,8.5,8.5,8.3,13:29,2.506,0,41.59,0,6/9/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
25,3,8,8.5,8.5,8.3,13:31,1.83,0,41.09,0,6/9/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
1,1,6,8.5,7.5,7.3,13:34,2.888,0.11,33.31,0,6/12/23,Disturbance,,Disturbance,Yes
,,,,,,,,,,,,,,,
1,2,6,8.5,7.5,7.3,13:36,2.536,0.11,33.26,0,6/12/23,Disturbance,,Disturbance,Yes
,,,,,,,,,,,,,,,
